Date,Region,Android,iOS,Other
2019-01,Asia,82.52,13.8,3.6800000000000033
2019-01,Europe,70.91,27.95,1.1400000000000041
2019-01,North America,47.27,52.28,0.44999999999999574
2019-01,Oceania,43.02,56.43,0.5499999999999972
2019-01,South America,86.23,11.62,2.149999999999997
2019-01,Worldwide,74.45,22.85,2.6999999999999957
2019-02,Africa,82.42,9.77,7.809999999999999
2019-02,Asia,82.42,14.09,3.4899999999999984
2019-02,Europe,71.2,27.69,1.1099999999999959
2019-02,North America,46.97,52.55,0.480000000000004
2019-02,Oceania,42.59,56.82,0.5899999999999963
2019-02,South America,86.34,11.49,2.1699999999999964
2019-02,Worldwide,74.15,23.28,2.569999999999993
2019-03,Africa,84.34,8.57,7.089999999999996
2019-03,Asia,83.62,13.23,3.149999999999995
2019-03,Europe,72.79,26.2,1.0099999999999945
2019-03,North America,49.85,49.7,0.44999999999999574
2019-03,Oceania,44.93,54.6,0.46999999999999886
2019-03,South America,87.77,10.55,1.6800000000000033
2019-03,Worldwide,75.33,22.4,2.270000000000003
2019-04,Africa,83.28,9.92,6.799999999999999
2019-04,Asia,83.25,14.06,2.6899999999999995
2019-04,Europe,73.05,25.96,0.990000000000002
2019-04,North America,49.68,49.9,0.4200000000000017
2019-04,Oceania,45.55,53.91,0.5400000000000063
2019-04,South America,88.26,10.11,1.6299999999999955
2019-04,Worldwide,75.22,22.76,2.0199999999999996
2019-05,Africa,82.77,10.71,6.520000000000003
2019-05,Asia,83.5,13.75,2.75
2019-05,Europe,73.21,25.87,0.9200000000000053
2019-05,North America,50.99,48.68,0.3299999999999983
2019-05,Oceania,44.27,55.15,0.5799999999999983
2019-05,South America,88.38,10.08,1.5400000000000045
2019-05,Worldwide,75.34,22.66,1.9999999999999964
2019-06,Africa,80.95,13.23,5.819999999999997
2019-06,Asia,84.63,12.74,2.6300000000000043
2019-06,Europe,72.48,26.64,0.8799999999999955
2019-06,North America,51.4,48.29,0.3100000000000023
2019-06,Oceania,44.99,54.41,0.6000000000000014
2019-06,South America,88.41,10.13,1.4600000000000026
2019-06,Worldwide,76.03,22.04,1.9299999999999997
2019-07,Africa,79.05,15.85,5.100000000000003
2019-07,Asia,84.67,12.72,2.6099999999999977
2019-07,Europe,73.71,25.43,0.8600000000000065
2019-07,North America,49.57,50.11,0.3200000000000003
2019-07,Oceania,45.94,53.52,0.5399999999999991
2019-07,South America,88.37,10.26,1.3699999999999957
2019-07,Worldwide,76.08,22.01,1.9100000000000001
2019-08,Africa,79.74,15.52,4.7400000000000055
2019-08,Asia,85.07,12.86,2.0700000000000074
2019-08,Europe,74.04,25.13,0.8299999999999947
2019-08,North America,49.28,50.43,0.28999999999999915
2019-08,Oceania,46.07,53.36,0.5700000000000003
2019-08,South America,87.8,11.02,1.1800000000000033
2019-08,Worldwide,76.23,22.17,1.5999999999999943
2019-09,Africa,81.75,13.4,4.85
2019-09,Asia,85.48,12.97,1.5499999999999954
2019-09,Europe,72.73,26.49,0.7799999999999976
2019-09,North America,49.71,50.02,0.269999999999996
2019-09,Oceania,47.04,52.4,0.5600000000000023
2019-09,South America,88.58,10.49,0.9300000000000015
2019-09,Worldwide,76.24,22.48,1.2800000000000047
2019-10,Africa,85.88,8.84,5.280000000000005
2019-10,Asia,85.61,12.86,1.5300000000000011
2019-10,Europe,72.87,26.45,0.6799999999999962
2019-10,North America,51.46,48.29,0.25
2019-10,Oceania,50.34,49.34,0.3199999999999932
2019-10,South America,89.71,9.38,0.9100000000000055
2019-10,Worldwide,76.67,22.09,1.2399999999999984
2019-11,Africa,82.83,12.52,4.650000000000002
2019-11,Asia,86.19,12.11,1.7000000000000028
2019-11,Europe,72.76,26.57,0.6699999999999946
2019-11,North America,49.29,50.47,0.240000000000002
2019-11,Oceania,48.62,51.09,0.28999999999999915
2019-11,South America,89.11,10.02,0.870000000000001
2019-11,Worldwide,75.82,22.9,1.2800000000000082
2019-12,Africa,83.78,11.28,4.9399999999999995
2019-12,Asia,85.9,12.69,1.4099999999999948
2019-12,Europe,71.76,27.58,0.6599999999999966
2019-12,North America,48.55,51.24,0.21000000000000085
2019-12,Oceania,48.19,51.48,0.3300000000000054
2019-12,South America,89.47,9.83,0.7000000000000011
2019-12,Worldwide,74.13,24.79,1.0800000000000054
2020-01,Africa,84.29,11.33,4.379999999999994
2020-01,Asia,85.46,13.42,1.1200000000000063
2020-01,Europe,72.58,26.77,0.6500000000000021
2020-01,North America,47.75,52.0,0.25
2020-01,Oceania,48.3,51.37,0.3300000000000054
2020-01,South America,89.62,9.76,0.6199999999999957
2020-01,Worldwide,74.3,24.76,0.9400000000000013
2020-02,Africa,85.25,12.11,2.6400000000000006
2020-02,Asia,83.94,15.03,1.030000000000003
2020-02,Europe,71.89,27.55,0.5599999999999987
2020-02,North America,47.05,52.67,0.28000000000000114
2020-02,Oceania,48.2,51.47,0.3299999999999983
2020-02,South America,89.54,9.82,0.6399999999999935
2020-02,Worldwide,73.3,25.89,0.8100000000000023
2020-03,Africa,85.63,13.58,0.7900000000000045
2020-03,Asia,83.66,15.27,1.0700000000000038
2020-03,Europe,71.77,27.72,0.5100000000000051
2020-03,North America,45.16,54.62,0.22000000000000597
2020-03,Oceania,48.17,51.54,0.28999999999999915
2020-03,South America,89.07,10.38,0.550000000000006
2020-03,Worldwide,72.26,27.03,0.7099999999999937
2020-04,Africa,85.44,13.19,1.3700000000000028
2020-04,Asia,82.55,16.71,0.740000000000002
2020-04,Europe,70.43,29.18,0.38999999999999346
2020-04,North America,44.28,55.53,0.18999999999999773
2020-04,Oceania,48.15,51.57,0.28000000000000114
2020-04,South America,89.28,10.24,0.47999999999999865
2020-04,Worldwide,70.68,28.79,0.529999999999994
2020-05,Africa,85.66,12.5,1.8400000000000034
2020-05,Asia,82.38,16.67,0.9500000000000028
2020-05,Europe,70.88,28.73,0.3900000000000041
2020-05,North America,47.31,52.49,0.19999999999999574
2020-05,Oceania,49.74,49.94,0.3200000000000003
2020-05,South America,87.91,11.66,0.43000000000000327
2020-05,Worldwide,72.6,26.72,0.6800000000000068
2020-06,Africa,85.79,12.3,1.909999999999993
2020-06,Asia,82.74,16.52,0.7400000000000055
2020-06,Europe,73.32,26.25,0.4300000000000068
2020-06,North America,48.55,51.24,0.21000000000000085
2020-06,Oceania,50.73,48.91,0.36000000000000654
2020-06,South America,89.13,10.5,0.37000000000000455
2020-06,Worldwide,74.14,25.26,0.5999999999999979
2020-07,Africa,86.39,11.08,2.5299999999999994
2020-07,Asia,83.08,16.26,0.6600000000000001
2020-07,Europe,73.87,25.71,0.4199999999999946
2020-07,North America,47.53,52.24,0.22999999999999687
2020-07,Oceania,49.82,49.79,0.39000000000000057
2020-07,South America,88.47,11.18,0.3500000000000014
2020-07,Worldwide,74.6,24.82,0.5800000000000054
2020-08,Africa,86.89,10.57,2.539999999999999
2020-08,Asia,82.8,16.56,0.6400000000000041
2020-08,Europe,73.18,26.39,0.4299999999999926
2020-08,North America,46.98,52.79,0.23000000000000398
2020-08,Oceania,49.39,50.19,0.4200000000000017
2020-08,South America,88.52,11.18,0.30000000000000426
2020-08,Worldwide,74.25,25.15,0.6000000000000014
2020-09,Africa,87.21,10.17,2.6200000000000063
2020-09,Asia,83.53,15.85,0.6199999999999992
2020-09,Europe,72.86,26.67,0.46999999999999886
2020-09,North America,46.23,53.55,0.22000000000000597
2020-09,Oceania,49.39,50.19,0.4200000000000017
2020-09,South America,88.38,11.35,0.2700000000000049
2020-09,Worldwide,74.44,24.98,0.5800000000000018
2020-10,Africa,86.74,10.66,2.600000000000005
2020-10,Asia,83.24,16.17,0.5900000000000034
2020-10,Europe,67.81,31.77,0.41999999999999815
2020-10,North America,46.06,53.73,0.21000000000000085
2020-10,Oceania,48.13,51.49,0.37999999999999545
2020-10,South America,87.59,12.14,0.269999999999996
2020-10,Worldwide,72.92,26.53,0.5499999999999972
2020-11,Africa,86.74,10.58,2.680000000000005
2020-11,Asia,82.06,17.15,0.7899999999999991
2020-11,Europe,68.2,31.42,0.37999999999999545
2020-11,North America,44.2,55.59,0.20999999999999375
2020-11,Oceania,47.88,51.74,0.37999999999999545
2020-11,South America,88.62,11.07,0.30999999999999517
2020-11,Worldwide,71.18,28.19,0.6299999999999919
2020-12,Africa,85.45,12.11,2.4399999999999977
2020-12,Asia,83.7,15.58,0.7199999999999971
2020-12,Europe,68.33,31.31,0.360000000000003
2020-12,North America,43.85,55.94,0.21000000000000085
2020-12,Oceania,48.15,51.49,0.35999999999999943
2020-12,South America,88.73,10.97,0.2999999999999954
2020-12,Worldwide,72.48,26.91,0.6099999999999959
2021-01,Africa,83.69,14.33,1.9800000000000022
2021-01,Asia,82.95,16.35,0.6999999999999957
2021-01,Europe,68.52,31.01,0.4700000000000024
2021-01,North America,43.54,56.22,0.240000000000002
2021-01,Oceania,47.61,51.91,0.480000000000004
2021-01,South America,88.81,10.91,0.2799999999999976
